event_id,symbol,entry_day,exit_day,holding_days,entry_date,exit_date,ex_date,entry_price,exit_price,raw_return,net_return,daily_net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend,dividend_yield_on_entry,etf_name,entry_year,strategy_entry_day,strategy_exit_day,strategy_holding_days,exit_year,category
00919_20231218,00919,-10,-1,9,2023-12-04,2023-12-15,2023-12-18,16.6589412689209,17.208717346191406,0.033001861786749576,0.03140186178674958,0.0034890957540832865,0.0018,0.0018,0.0,3.0459597697676233,0.55,0.02486437518684385,群益台灣精選高息,2023,-10,-1,9,2023,high_dividend
0056_20240117,0056,-10,-1,9,2024-01-03,2024-01-16,2024-01-17,28.517986297607425,28.27696418762207,-0.008451582361745369,-0.01005158236174537,-0.0011168424846383744,0.0025,0.005,0.0025,3.7300147403084063,0.7,0.019083969306871177,元大高股息,2024,-10,-1,9,2024,high_dividend
00878_20240227,00878,-10,-1,9,2024-02-02,2024-02-26,2024-02-27,17.663227081298828,18.115922927856445,0.025629283056487262,0.02402928305648726,0.0026699203396096955,-0.0005,0.0049,0.0054,1.1016018750150647,0.4,0.018306635835998748,國泰永續高股息,2024,-10,-1,9,2024,high_dividend
00713_20240318,00713,-10,-1,9,2024-03-04,2024-03-15,2024-03-18,43.08149719238281,45.115211486816406,0.04720621210892295,0.045606212108922954,0.00506735690099144,-0.0002,0.0015,0.0017000000000000001,1.4735138056379453,0.88,0.01695568350920386,元大台灣高息低波,2024,-10,-1,9,2024,high_dividend
00919_20240318,00919,-10,-1,9,2024-03-04,2024-03-15,2024-03-18,18.991323471069336,19.93278694152832,0.0495733471073343,0.0479733471073343,0.005330371900814922,-0.0004,0.0078,0.008199999999999999,2.0322034721209934,0.66,0.026818365852554597,群益台灣精選高息,2024,-10,-1,9,2024,high_dividend
0056_20240418,0056,-10,-1,9,2024-04-02,2024-04-17,2024-04-18,31.61439514160156,30.869216918945312,-0.02357085180085139,-0.02517085180085139,-0.00279676131120571,-0.001,0.0044,0.0054,0.9011840154218901,0.79,0.019809427754294093,元大高股息,2024,-10,-1,9,2024,high_dividend
00878_20240517,00878,-10,-1,9,2024-05-03,2024-05-16,2024-05-17,18.354612350463867,19.399921417236328,0.05695075694399199,0.05535075694399199,0.006150084104887999,0.0027,,,0.9823137880723047,0.51,0.02286995593938976,國泰永續高股息,2024,-10,-1,9,2024,high_dividend
00713_20240619,00713,-10,-1,9,2024-06-04,2024-06-18,2024-06-19,48.64207458496094,50.1186408996582,0.030355742991969192,0.02875574299196919,0.0031950825546632434,0.0028,0.0032,0.0004000000000000002,3.939564351168913,1.5,0.02601907997047762,元大台灣高息低波,2024,-10,-1,9,2024,high_dividend
00919_20240624,00919,-10,-1,9,2024-06-07,2024-06-21,2024-06-24,20.693035125732425,21.33449935913086,0.030999040474287476,0.029399040474287475,0.0032665600526986084,-0.0004,0.0040999999999999,0.0044999999999999,0.8801365942866315,0.7,0.02678913212714636,群益台灣精選高息,2024,-10,-1,9,2024,high_dividend
0056_20240716,0056,-10,-1,9,2024-07-02,2024-07-15,2024-07-16,33.256221771240234,34.28384780883789,0.03090026415707703,0.029300264157077028,0.003255584906341892,0.0017,0.0045,0.0027999999999999995,3.719878063317399,1.07,0.026034064226881502,元大高股息,2024,-10,-1,9,2024,high_dividend
00878_20240816,00878,-10,-1,9,2024-08-02,2024-08-15,2024-08-16,19.240079879760746,19.45880889892578,0.011368404940726107,0.009768404940726106,0.001085378326747345,0.0056999999999999,0.0069999999999999,0.0013000000000000008,4.531869850801723,0.55,0.024048971570498467,國泰永續高股息,2024,-10,-1,9,2024,high_dividend
00713_20240918,00713,-10,-1,9,2024-09-03,2024-09-16,2024-09-18,50.72455978393555,50.42160034179688,-0.005972638174271738,-0.007572638174271738,-0.0008414042415857487,0.0053,0.0046999999999999,-0.0006000000000001005,1.171600032041829,1.5,0.025597270291097866,元大台灣高息低波,2024,-10,-1,9,2024,high_dividend
00919_20240923,00919,-10,-1,9,2024-09-06,2024-09-20,2024-09-23,19.67586898803711,19.65960693359375,-0.0008264973940030895,-0.0024264973940030894,-0.0002696108215558988,0.0004,0.0092,0.0088,1.08060820470056,0.72,0.029752065177726265,群益台灣精選高息,2024,-10,-1,9,2024,high_dividend
0056_20241017,0056,-10,-1,9,2024-09-30,2024-10-16,2024-10-17,32.09233474731445,32.39117813110352,0.00931198637126518,0.00771198637126518,0.00085688737458502,0.0089,0.0069999999999999,-0.0019000000000000995,1.541597552168784,1.07,0.027677185830915763,元大高股息,2024,-10,-1,9,2024,high_dividend
00878_20241118,00878,-10,-1,9,2024-11-04,2024-11-15,2024-11-18,19.69148826599121,19.588077545166016,-0.005251544191496871,-0.006851544191496871,-0.0007612826879440967,0.0018,,,2.550244912845987,0.55,0.02407002148000068,國泰永續高股息,2024,-10,-1,9,2024,high_dividend
00713_20241217,00713,-10,-1,9,2024-12-03,2024-12-16,2024-12-17,49.39983749389648,49.44426727294922,0.0008993911985688552,-0.0007006088014311449,-7.784542238123833e-05,,,,1.715843973970685,1.4,0.025179856806140512,元大台灣高息低波,2024,-10,-1,9,2024,high_dividend
00919_20241220,00919,-10,-1,9,2024-12-06,2024-12-19,2024-12-20,19.9361515045166,20.086990356445312,0.007566096791275845,0.005966096791275845,0.0006628996434750938,,,,1.2989834467304364,0.72,0.030264815985360797,群益台灣精選高息,2024,-10,-1,9,2024,high_dividend
0056_20250117,0056,-10,-1,9,2025-01-03,2025-01-16,2025-01-17,31.39255714416504,31.05968475341797,-0.010603544949154942,-0.012203544949154942,-0.0013559494387949936,,,,1.6319171668064458,1.07,0.029091898736067743,元大高股息,2025,-10,-1,9,2025,high_dividend
00878_20250220,00878,-10,-1,9,2025-02-06,2025-02-19,2025-02-20,19.69404983520508,20.27692604064941,0.029596563953158128,0.027996563953158127,0.003110729328128681,,,,1.5609815646064409,0.5,0.022421525430774275,國泰永續高股息,2025,-10,-1,9,2025,high_dividend
00919_20250318,00919,-10,-1,9,2025-03-04,2025-03-17,2025-03-18,20.70903968811035,20.510332107543945,-0.009595209800118853,-0.011195209800118854,-0.001243912200013206,0.0021,0.0055,0.0034,2.8235959313543098,0.72,0.030037547794123792,群益台灣精選高息,2025,-10,-1,9,2025,high_dividend
00713_20250321,00713,-10,-1,9,2025-03-07,2025-03-20,2025-03-21,50.12782669067383,50.21896743774414,0.0018181667366654608,0.00021816673666546073,2.4240748518384524e-05,0.0031,0.0025,-0.0005999999999999998,1.9006923986510778,1.4,0.025454545454545452,元大台灣高息低波,2025,-10,-1,9,2025,high_dividend
0056_20250423,0056,-10,-1,9,2025-04-09,2025-04-22,2025-04-23,25.229398727416992,28.122556686401367,0.11467407488551662,0.11307407488551662,0.012563786098390735,0.0095,0.005,-0.0045,11.711736953759146,1.07,0.03729522412276757,元大高股息,2025,-10,-1,9,2025,high_dividend
00878_20250519,00878,-10,-1,9,2025-05-05,2025-05-16,2025-05-19,18.40812492370605,19.193565368652344,0.042668139650377856,0.04106813965037786,0.004563126627819762,0.002,0.0043,0.0023,1.4100551530054597,0.47,0.02305051564830398,國泰永續高股息,2025,-10,-1,9,2025,high_dividend
00919_20250617,00919,-10,-1,9,2025-06-03,2025-06-16,2025-06-17,19.77082061767578,20.038110733032227,0.013519424434890626,0.011919424434890625,0.001324380492765625,0.0,0.0076,0.0076,2.1898054263524855,0.72,0.03244704743899987,群益台灣精選高息,2025,-10,-1,9,2025,high_dividend
