event_id,symbol,etf_name,ex_date,dividend,entry_day,exit_day,holding_days,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend_yield_on_entry,entry_year
00929_20250219,00929,復華台灣科技優息,2025-02-19,0.05,-10,-1,9,2025-02-05,2025-02-18,16.96792984008789,17.396554946899414,0.02526089575163537,0.02366089575163537,,,,0.9317353654005626,0.002745744234695438,2025
00929_20250319,00929,復華台灣科技優息,2025-03-19,0.05,-10,-1,9,2025-03-05,2025-03-18,17.40589714050293,17.23772621154785,-0.00966172140381949,-0.01126172140381949,-0.0032,-0.0065,-0.0032999999999999995,1.1192488016411437,0.0026838433844536234,2025
00929_20250422,00929,復華台灣科技優息,2025-04-22,0.05,-10,-1,9,2025-04-08,2025-04-21,14.53964614868164,15.448373794555664,0.06249998360217468,0.06089998360217468,-0.0171,-0.003,0.014100000000000001,4.258835128770676,0.0032216493895132698,2025
00929_20250520,00929,復華台灣科技優息,2025-05-20,0.07,-10,-1,9,2025-05-06,2025-05-19,15.918216705322266,16.538402557373047,0.038960761970492586,0.03736076197049259,,0.0,,1.1176984492556319,0.004132231274684204,2025
00929_20250618,00929,復華台灣科技優息,2025-06-18,0.07,-10,-1,9,2025-06-04,2025-06-17,16.161029815673828,16.670482635498047,0.0315235369054343,0.0299235369054343,-0.0069999999999999,-0.0034,0.0035999999999999006,0.5592445335104437,0.004086398332133215,2025
00929_20250717,00929,復華台灣科技優息,2025-07-17,0.07,-10,-1,9,2025-07-03,2025-07-16,16.717844009399414,16.689428329467773,-0.0016997215619229955,-0.0032997215619229954,-0.0079,-0.004,0.0039000000000000007,1.2611705292178614,0.0039660057514397246,2025
00929_20250819,00929,復華台灣科技優息,2025-08-19,0.08,-10,-1,9,2025-08-05,2025-08-18,17.12687110900879,16.841585159301758,-0.016657213561732775,-0.018257213561732776,-0.0072,-0.0051,0.0020999999999999994,2.112366650129479,0.00444197662317114,2025
00929_20250917,00929,復華台灣科技優息,2025-09-17,0.08,-10,-1,9,2025-09-03,2025-09-16,16.77471160888672,17.567596435546875,0.0472666740953156,0.0456666740953156,-0.0056999999999999,-0.0076,-0.0019000000000001004,0.48467087912271,0.004555808794593644,2025
00929_20251021,00929,復華台灣科技優息,2025-10-21,0.08,-10,-1,9,2025-10-03,2025-10-20,17.749893188476562,17.865026473999023,0.006486421315324176,0.004886421315324176,-0.0054,-0.0048,0.0006000000000000007,0.7905306847003887,0.004324324324324324,2025
00929_20251119,00929,復華台灣科技優息,2025-11-19,0.09,-10,-1,9,2025-11-05,2025-11-18,17.82648277282715,16.891799926757812,-0.052432263726979844,-0.05403226372697984,-0.0059,0.0011,0.007,1.327939660063827,0.004864864864864865,2025
