event_id,symbol,entry_date,exit_date,ex_date,entry_year,entry_day,exit_day,holding_days,buffer_days_used,actual_net_return,actual_daily_return,matched_placebo_mean_daily_return,matched_placebo_median_daily_return,event_excess_daily_return,event_excess_daily_return_vs_median,random_sample_count,entry_premium,exit_premium,entry_volume_ratio,dividend_yield_on_entry,etf_name,category
00713_20240918,00713,2024-09-03,2024-09-16,2024-09-18,2024,-10,-1,9,30,-0.007572638174271738,-0.0008414042415857487,0.00038300133116441544,0.0007968832562449329,-0.0012244055727501642,-0.0016382874978306816,148,0.0053,0.0046999999999999,1.171600032041829,0.025597270291097866,元大台灣高息低波,high_dividend
00713_20241217,00713,2024-12-03,2024-12-16,2024-12-17,2024,-10,-1,9,30,-0.0007006088014311449,-7.784542238123833e-05,0.0002574867326668668,0.0007007827321238097,-0.00033533215504810514,-0.000778628154505048,166,,,1.715843973970685,0.025179856806140512,元大台灣高息低波,high_dividend
00713_20250321,00713,2025-03-07,2025-03-20,2025-03-21,2025,-10,-1,9,30,0.00021816673666546073,2.4240748518384524e-05,0.0007634680595670877,0.000697973082613748,-0.0007392273110487031,-0.0006737323340953635,187,0.0031,0.0025,1.9006923986510778,0.025454545454545452,元大台灣高息低波,high_dividend
00713_20250620,00713,2025-06-06,2025-06-19,2025-06-20,2025,-10,-1,9,30,0.005222787545846421,0.0005803097273162689,0.0007334400105531794,0.0003137567177310324,-0.0001531302832369105,0.0002665530095852365,190,0.0029,0.0037,0.7847684826246011,0.021442495445600892,元大台灣高息低波,high_dividend
00713_20250919,00713,2025-09-05,2025-09-18,2025-09-19,2025,-10,-1,9,30,0.005196200496713034,0.0005773556107458927,0.0007656853105749224,0.000697973082613748,-0.0001883296998290298,-0.00012061747186785539,185,-0.0046,-0.0037,1.0266845920367786,0.015145631067961166,元大台灣高息低波,high_dividend
00713_20251219,00713,2025-12-05,2025-12-18,2025-12-19,2025,-10,-1,9,30,0.012275215422853637,0.0013639128247615153,0.00044083839236361185,4.073375245429799e-05,0.0009230744323979034,0.0013231790723072174,178,-0.0040999999999999,-0.001,0.4522822409631896,0.015460852095229058,元大台灣高息低波,high_dividend
00713_20260320,00713,2026-03-06,2026-03-19,2026-03-20,2026,-10,-1,9,30,-0.0035011458627569143,-0.00038901620697299045,0.000599439750253824,-0.00028535213813787056,-0.0009884559572268144,-0.0001036640688351199,255,-0.0062,-0.001,0.6589894362674134,0.014828897768576092,元大台灣高息低波,high_dividend
00878_20201117,00878,2020-11-03,2020-11-16,2020-11-17,2020,-10,-1,9,20,0.039061294335263556,0.004340143815029284,-0.000765847772194398,-0.0005569732355259431,0.005105991587223682,0.004897117050555227,680,-0.0055,-0.0092,0.6953303846803998,0.0034458993253822356,國泰永續高股息,high_dividend
00878_20210225,00878,2021-02-02,2021-02-24,2021-02-25,2021,-10,-1,9,20,0.04415556270471526,0.004906173633857251,0.000711093667637188,0.0006233533492447487,0.004195079966220063,0.0042828202846125025,382,-0.006,0.0012,0.49919934662609916,0.00903070406310028,國泰永續高股息,high_dividend
00878_20210518,00878,2021-05-04,2021-05-17,2021-05-18,2021,-10,-1,9,20,-0.06983018867981179,-0.007758909853312421,0.0006384547024059214,0.00048645990525377294,-0.008397364555718342,-0.008245369758566195,378,0.0016,0.0063,3.310071181183953,0.013326225850206232,國泰永續高股息,high_dividend
